"model","min_tstat","max_tstat","pval_one_neg","mean_dydx","pval_one_pos","n_defiers_true","pct_defiers_true","n_defiers_estimated","pct_defiers_estimated","estimate","pval_defier"
"Forest",-3.21623522919153,1.14615475971575,0.000649421613807976,-0.376886086190014,0.125865561544134,1000,0.5,204,0.102,-0.359079922552315,0.125865561544134
"Saturated First Stage",-1.55119766366589,0.814402633844108,0.0605869611074369,-0.35848196749807,0.207707165137394,1000,0.5,167,0.0835,-0.359079922552315,0.207707165137394
"Forest",-5.24985537553812,2.26930750133729,7.61093356273488e-08,-0.106444487584271,0.0116248163448081,1000,0.5,467,0.2335,-0.101620107845713,0.0116248163448081
"Saturated First Stage",-2.00524954523851,1.79001838905578,0.0226040925015428,-0.101018141281571,0.0367254776087442,1000,0.5,415,0.2075,-0.101620107845713,0.0367254776087442
"Forest",-3.94696181592786,3.23450831731978,3.95745870133727e-05,0.445985947529435,0.000609261857497976,1000,0.5,342,0.171,0.470371101498105,3.95745870133727e-05
"Saturated First Stage",-2.16845222837019,3.44004357767448,0.0151809314770058,0.471890918021947,0.000290810265035801,1000,0.5,331,0.1655,0.470371101498105,0.0151809314770058
"Forest",-4.22332141722246,3.19097802254592,1.20364063945858e-05,-0.308869081428614,0.000708960328080703,1000,0.5,295,0.1475,-0.216994845855295,0.000708960328080703
"Saturated First Stage",-1.46114801407616,1.05855642797153,0.0721460649256036,-0.216362151317483,0.144900919709392,1000,0.5,302,0.151,-0.216994845855295,0.144900919709392
"Forest",-4.5195694807651,2.69010071793435,3.09827547486613e-06,-0.471105820739312,0.00357152285277632,1000,0.5,229,0.1145,-0.434569300500553,0.00357152285277632
"Saturated First Stage",-2.45160635156842,1.02599312851462,0.00719695255389436,-0.43497483614599,0.152447411516338,1000,0.5,336,0.168,-0.434569300500553,0.152447411516338
"Forest",-2.43638502910448,4.88388496630264,0.00741744225810384,0.41245631351598,5.20078861730331e-07,1000,0.5,293,0.1465,0.415156281015306,0.00741744225810384
"Saturated First Stage",-1.48976901932818,2.26749842037167,0.0683017406241692,0.41413103774782,0.0116798976448966,1000,0.5,258,0.129,0.415156281015306,0.0683017406241692
"Forest",-3.56342961506409,5.4737094576478,0.000183020437472391,0.32791888527267,2.20355706671795e-08,1000,0.5,377,0.1885,0.277965248019964,0.000183020437472391
"Saturated First Stage",-2.37147067224691,3.25327052764105,0.00895398605997727,0.280847265201946,0.000570424139786614,1000,0.5,440,0.22,0.277965248019964,0.00895398605997727
