"model","min_tstat","max_tstat","pval_one_neg","mean_dydx","pval_one_pos","n_defiers_true","pct_defiers_true","n_defiers_estimated","pct_defiers_estimated","first_stage_sign","pval_defier","N"
"Forest",-3.54337522160945,13.4359517943362,0.000197520101066006,1.08065157371069,1.86125534339722e-41,1213,0.2426,953,0.1906,1,0.000197520101066006,"Medium"
"Saturated First Stage",-0.956196466325117,9.16547165266199,0.169509652951621,1.08607690323004,2.46653862342086e-20,1213,0.2426,1063,0.2126,1,0.169509652951621,"Medium"
"Forest",-6.98535352887399,13.7597824245643,1.42069782153041e-12,1.03177678894078,2.22431835565739e-43,936,0.1872,1094,0.2188,1,1.42069782153041e-12,"Medium"
"Saturated First Stage",-1.80522236383464,8.81652920762152,0.0355500718053421,1.02745528832979,5.90312066706648e-19,936,0.1872,1364,0.2728,1,0.0355500718053421,"Medium"
"Forest",-2.16274734008809,12.0457062284487,0.0152803089232935,1.26248084906592,1.02159491386556e-33,506,0.1012,303,0.0606,1,0.0152803089232935,"Medium"
"Saturated First Stage",0.602156508906892,6.86344088451004,0.726451339195759,1.2680358232096,3.36106749410312e-12,506,0.1012,0,0,1,0.726451339195759,"Medium"
"Forest",-3.07526839287975,10.4196352606479,0.00105156601040672,1.09320745030596,1.00862656738146e-25,850,0.17,619,0.1238,1,0.00105156601040672,"Medium"
"Saturated First Stage",-0.391597935683312,7.56659374806213,0.347686017339859,1.06181149831209,1.91568856414091e-14,850,0.17,567,0.1134,1,0.347686017339859,"Medium"
"Forest",-5.42117899692647,12.1385376749023,2.96036190070176e-08,0.766693818813718,3.29974602015374e-34,958,0.1916,989,0.1978,1,2.96036190070176e-08,"Medium"
"Saturated First Stage",-0.909382832128451,6.41560025017555,0.181596000425201,0.780059379621556,7.01345363140237e-11,958,0.1916,1008,0.2016,1,0.181596000425201,"Medium"
"Forest",-4.54414455400724,10.7151154615544,2.75793985754313e-06,1.16790045584922,4.3224661410024e-27,1007,0.2014,870,0.174,1,2.75793985754313e-06,"Medium"
"Saturated First Stage",0.284226268461973,8.85968569476771,0.611875610479135,1.22217146508653,4.01201720088915e-19,1007,0.2014,0,0,1,0.611875610479135,"Medium"
"Forest",-5.28476452347793,12.2076979912207,6.29332770031941e-08,0.921326449471353,1.41388555173841e-34,1144,0.2288,1149,0.2298,1,6.29332770031941e-08,"Medium"
"Saturated First Stage",-1.18643789370784,6.45714949660576,0.11775294936451,0.848285742749457,5.33467447111353e-11,1144,0.2288,1301,0.2602,1,0.11775294936451,"Medium"
"Forest",-5.15781824670587,15.8592873028898,1.24921981726346e-07,1.13959017020533,6.06310776911621e-57,1377,0.2754,830,0.166,1,1.24921981726346e-07,"Medium"
"Saturated First Stage",-0.72602108506124,8.23294504808437,0.233929947528811,1.105850603082,9.13330017339081e-17,1377,0.2754,1601,0.3202,1,0.233929947528811,"Medium"
"Forest",-4.36387847237292,12.8205207187208,6.38882892618975e-06,1.22985531590395,6.29262343874249e-38,657,0.1314,425,0.085,1,6.38882892618975e-06,"Medium"
"Saturated First Stage",0.146346331806096,8.08984447602553,0.558173048185326,1.24795471609396,2.98704818575745e-16,657,0.1314,0,0,1,0.558173048185326,"Medium"
"Forest",-7.31506294682974,12.6369780773239,1.28630383900541e-13,0.906185535237134,6.60157518614433e-37,865,0.173,1151,0.2302,1,1.28630383900541e-13,"Medium"
"Saturated First Stage",-1.08405861289034,6.28920407557165,0.139195592936225,0.887296808644299,1.59548880574168e-10,865,0.173,1939,0.3878,1,0.139195592936225,"Medium"
"Forest",-5.79536027744461,12.7584506074668,3.40873334400859e-09,1.01531222151851,1.39854636723078e-37,841,0.1682,1273,0.2546,1,3.40873334400859e-09,"Medium"
"Saturated First Stage",-1.69851075605109,8.3628226529617,0.0447368725541319,0.99148274512614,3.06176146656987e-17,841,0.1682,1555,0.311,1,0.0447368725541319,"Medium"
"Forest",-2.41826705948815,11.2110558684938,0.00779731337630395,1.15560531612399,1.79937259602072e-29,810,0.162,495,0.099,1,0.00779731337630395,"Medium"
"Saturated First Stage",-0.137574395074612,7.95520081228736,0.445291171717877,1.19995610428565,8.94205978116362e-16,810,0.162,310,0.062,1,0.445291171717877,"Medium"
"Forest",-4.78824332730386,12.1825195380824,8.4123786843975e-07,0.991347566294052,1.92597697786552e-34,976,0.1952,874,0.1748,1,8.4123786843975e-07,"Medium"
"Saturated First Stage",-1.02347496339116,7.83899440489952,0.153066472390037,0.929096089351359,2.27084391686408e-15,976,0.1952,1026,0.2052,1,0.153066472390037,"Medium"
"Forest",-2.88788133669745,8.82967296105932,0.00193923079576132,0.941028599272951,5.24911135956389e-19,513,0.1026,714,0.1428,1,0.00193923079576132,"Medium"
"Saturated First Stage",-0.882475601277253,6.9670647428877,0.188781088319323,0.932739889075454,1.61810883917208e-12,513,0.1026,788,0.1576,1,0.188781088319323,"Medium"
"Forest",-4.66583105364078,12.3157515017169,1.53686089596518e-06,1.10079092275869,3.72588909531106e-35,798,0.1596,590,0.118,1,1.53686089596518e-06,"Medium"
"Saturated First Stage",0.655331896624418,6.87081518873799,0.743857850979702,1.08188686833802,3.19180258686351e-12,798,0.1596,0,0,1,0.743857850979702,"Medium"
"Forest",-7.64995248600843,12.1659107999068,1.00526793931869e-14,1.12642720959033,2.36074713148463e-34,1333,0.2666,1462,0.2924,1,1.00526793931869e-14,"Medium"
"Saturated First Stage",-2.03518806013227,10.2713695235622,0.0209423471316693,1.17659223198168,4.74242525153533e-25,1333,0.2666,2198,0.4396,1,0.0209423471316693,"Medium"
"Forest",-8.76203818982074,10.4490294798617,9.5875643042029e-19,1.00627734193328,7.40161383767216e-26,1268,0.2536,1179,0.2358,1,9.5875643042029e-19,"Medium"
"Saturated First Stage",-2.95341613148538,9.04392877906204,0.00157872298580554,1.01353213407202,7.55698767629292e-20,1268,0.2536,1689,0.3378,1,0.00157872298580554,"Medium"
"Forest",-4.16688013338227,11.25960843883,1.54398381663124e-05,1.08836134421276,1.03839709642635e-29,920,0.184,898,0.1796,1,1.54398381663124e-05,"Medium"
"Saturated First Stage",-1.03294759056533,8.25171455436071,0.150839242250438,1.08447678040706,7.80690034291316e-17,920,0.184,1015,0.203,1,0.150839242250438,"Medium"
"Forest",-3.73528401331138,13.6766195387221,9.37517253999193e-05,1.09322884932161,7.00269560742915e-43,924,0.1848,962,0.1924,1,9.37517253999193e-05,"Medium"
