"model","min_tstat","max_tstat","pval_one_neg","mean_dydx","pval_one_pos","n_defiers_true","pct_defiers_true","n_defiers_estimated","pct_defiers_estimated","first_stage_sign","pval_defier","N"
"Saturated First Stage",-33.3916280656869,37.7345519338403,3.66505543303324e-232,0.565969842461119,0,2958,0.2958,5357,0.5357,-1,0,"Large"
"Forest",-43.8862218922023,24.6098905221771,0,-2.4234815662008,4.94964268154912e-134,4225,0.4225,3813,0.3813,-1,4.94964268154912e-134,"Large"
"Saturated First Stage",-47.9397541745743,28.7310454398812,0,-2.38994320544112,7.81368213682498e-182,4225,0.4225,3612,0.3612,-1,7.81368213682498e-182,"Large"
"Forest",-41.0255070405102,15.8277115244068,0,-3.86346798587844,1.00188742437923e-56,1326,0.1326,2630,0.263,-1,1.00188742437923e-56,"Large"
"Saturated First Stage",-37.5129389573389,8.64829269102806,1.49233189304935e-288,-4.00384104978847,2.61378061965489e-18,1326,0.1326,4146,0.4146,-1,2.61378061965489e-18,"Large"
"Forest",-34.4410930723143,18.4266708971643,3.06071317705919e-260,-2.62629974571619,4.01366774057064e-76,1581,0.1581,3253,0.3253,-1,4.01366774057064e-76,"Large"
"Saturated First Stage",-35.7511221204901,15.4084712242501,7.95411059558284e-264,-2.59618852110937,7.178409532526e-54,1581,0.1581,4500,0.45,-1,7.178409532526e-54,"Large"
"Forest",-35.4057066476467,16.625800128456,6.97450444501065e-275,-3.45538568067819,2.26637353927886e-62,1599,0.1599,3329,0.3329,-1,2.26637353927886e-62,"Large"
"Saturated First Stage",-41.7955407255292,15.4836330251927,0,-3.49680285368106,2.23736451716668e-54,1599,0.1599,2987,0.2987,-1,2.23736451716668e-54,"Large"
"Forest",-29.3074042235952,39.3275937936272,4.17315278642499e-189,2.54694398086051,0,1648,0.1648,3326,0.3326,1,4.17315278642499e-189,"Large"
"Saturated First Stage",-17.7475482471319,36.9438545727948,1.04032958487898e-69,2.7421908187746,4.57075437796787e-299,1648,0.1648,3082,0.3082,1,1.04032958487898e-69,"Large"
"Forest",-18.3207178699398,45.1366883143704,2.82809072560624e-75,5.63232089656496,0,1096,0.1096,2088,0.2088,1,2.82809072560624e-75,"Large"
"Saturated First Stage",-11.0900297806847,59.2264804578233,1.02695285843944e-28,5.64052362738013,0,1096,0.1096,3143,0.3143,1,1.02695285843944e-28,"Large"
"Forest",-29.1096445244818,15.8394993931942,1.35518826840888e-186,-1.82251553673938,8.30690930356336e-57,1840,0.184,3437,0.3437,-1,8.30690930356336e-57,"Large"
"Saturated First Stage",-28.1873382913025,16.7262218948321,1.42961815577442e-168,-1.79506692015646,4.22133829307958e-63,1840,0.184,4945,0.4945,-1,4.22133829307958e-63,"Large"
"Forest",-40.1294403131568,64.0160183381587,0,5.15808621158913,0,1699,0.1699,3342,0.3342,1,0,"Large"
"Saturated First Stage",-31.2723803106966,63.7278248178089,3.35875915440211e-205,5.18693896384523,0,1699,0.1699,4251,0.4251,1,3.35875915440211e-205,"Large"
"Forest",-51.6872016215618,66.2869519089386,0,1.81382874349141,0,2257,0.2257,4501,0.4501,1,0,"Large"
"Saturated First Stage",-53.2363370819627,67.4972166943631,0,1.80878879634595,0,2257,0.2257,4972,0.4972,1,0,"Large"
"Forest",-35.2934433993222,32.9148932166171,3.70143266979115e-273,-2.86458118970998,6.72861766682753e-238,1801,0.1801,3564,0.3564,-1,6.72861766682753e-238,"Large"
"Saturated First Stage",-41.4624330141164,16.3613431986974,0,-2.90484832866051,1.80537554648856e-60,1801,0.1801,4509,0.4509,-1,1.80537554648856e-60,"Large"
"Forest",-12.4860177931502,20.365000344564,4.4498954935278e-36,0.886105962837376,1.7092521288911e-92,1944,0.1944,3695,0.3695,1,4.4498954935278e-36,"Large"
"Saturated First Stage",-12.8740478563255,19.7642579142055,6.26962159260188e-38,0.888168033375943,3.0240595289209e-87,1944,0.1944,4944,0.4944,1,6.26962159260188e-38,"Large"
"Forest",-1.78945486928169,42.7293193006278,0.0367707947483863,6.45104387757032,0,200,0.02,138,0.0138,1,0.0367707947483863,"Large"
"Saturated First Stage",7.8400289863354,39.945968118422,0.999999999999998,6.47362699827062,0,200,0.02,0,0,1,0.999999999999998,"Large"
"Forest",-19.1835542599948,29.4975416204187,2.53935369134852e-82,0.716175844090569,1.54787105898271e-191,2326,0.2326,4356,0.4356,1,2.53935369134852e-82,"Large"
