"model","min_tstat","max_tstat","pval_one_neg","mean_dydx","pval_one_pos","n_defiers_true","pct_defiers_true","n_defiers_estimated","pct_defiers_estimated","first_stage_sign","pval_defier","N"
"Saturated First Stage",-31.1306635408413,20.7383951203865,6.72300438348145e-195,-2.47727936675996,7.8022777528145e-96,1093,0.2186,1333,0.2666,-1,7.8022777528145e-96,"Medium"
"Forest",-8.70613457476904,18.5555794113496,1.57206755400966e-18,1.4829003740085,3.67552467069086e-77,1036,0.2072,1432,0.2864,1,1.57206755400966e-18,"Medium"
"Saturated First Stage",-4.07144299765811,10.0203756934735,2.3723027681441e-05,1.33238683783393,6.2015285544111e-24,1036,0.2072,1913,0.3826,1,2.3723027681441e-05,"Medium"
"Forest",1.67526485412015,29.5841585971052,0.953058861034206,5.78918908722493,1.19458759315964e-192,21,0.0042,0,0,1,0.953058861034206,"Medium"
"Saturated First Stage",3.12450828399983,20.9515689022709,0.999104379676515,5.81135220449461,9.07752952442422e-98,21,0.0042,0,0,1,0.999104379676515,"Medium"
"Forest",-6.05125839880712,12.1099183971985,7.18593518076162e-10,1.45584876662584,4.67936108120172e-34,2202,0.4404,1131,0.2262,1,7.18593518076162e-10,"Medium"
"Saturated First Stage",-4.18135651557475,12.1007140805093,1.47370772802398e-05,1.52304912892815,5.23482312561381e-34,2202,0.4404,885,0.177,1,1.47370772802398e-05,"Medium"
"Forest",-13.7910011355201,22.3722004621543,1.44362534333907e-43,2.05695021787792,3.6712156027489e-111,1449,0.2898,1738,0.3476,1,1.44362534333907e-43,"Medium"
"Saturated First Stage",-8.67058724346341,16.1394249755831,2.86626418924442e-18,1.91862206566143,6.73956082104089e-59,1449,0.2898,1046,0.2092,1,2.86626418924442e-18,"Medium"
"Forest",-40.7152236524923,12.9180314999919,0,-5.31536663159748,1.7806824608325e-38,617,0.1234,1137,0.2274,-1,1.7806824608325e-38,"Medium"
"Saturated First Stage",-32.0720451569042,10.3325159190098,1.12662750571864e-205,-5.36564780049907,2.51128224761677e-25,617,0.1234,562,0.1124,-1,2.51128224761677e-25,"Medium"
"Forest",-17.3046571661761,23.2396744137358,2.16927975130846e-67,2.39688947946428,9.04611333865288e-120,865,0.173,1618,0.3236,1,2.16927975130846e-67,"Medium"
"Saturated First Stage",-7.78403804381928,20.1158836126075,4.24063686484769e-15,2.39747520887849,2.67879522880538e-90,865,0.173,1905,0.381,1,4.24063686484769e-15,"Medium"
"Forest",-25.7432462299733,2.08716204833878,1.9183131084545e-146,-4.74318348296134,0.0184367444016528,287,0.0574,176,0.0352,-1,0.0184367444016528,"Medium"
"Saturated First Stage",-21.8088198607246,-0.540532276252795,4.27243008423724e-101,-4.93234606859119,0.705584995834716,287,0.0574,0,0,-1,0.705584995834716,"Medium"
"Forest",-33.8895321672162,22.1035677561196,4.75090273953855e-252,-0.865357498876274,1.46027134773167e-108,1186,0.2372,2357,0.4714,-1,1.46027134773167e-108,"Medium"
"Saturated First Stage",-18.7461248094413,15.5217690605458,3.97577189550264e-76,-0.806832733831278,1.23571179880006e-54,1186,0.2372,2256,0.4512,-1,1.23571179880006e-54,"Medium"
"Forest",-16.4459851688073,19.4434539197055,4.48076133793405e-61,0.0420931565943619,1.65552927479156e-84,1735,0.347,2481,0.4962,1,4.48076133793405e-61,"Medium"
"Saturated First Stage",-13.8719433006782,13.860567517598,2.91398479289052e-43,-0.000459345636886523,5.49013318884819e-44,1735,0.347,2496,0.4992,1,2.91398479289052e-43,"Medium"
"Forest",-36.8740522682441,16.745748587959,6.02135076669662e-298,-5.76210593093974,3.04102672840621e-63,577,0.1154,1021,0.2042,-1,3.04102672840621e-63,"Medium"
"Saturated First Stage",-37.4958166050905,11.5735625210249,1.28992040876162e-271,-5.8145994046107,2.80518664007705e-31,577,0.1154,1032,0.2064,-1,2.80518664007705e-31,"Medium"
"Forest",-23.6135565443269,25.3270182367539,1.39849290785845e-123,-0.11935647546738,8.0509784434525e-142,1540,0.308,2504,0.5008,-1,8.0509784434525e-142,"Medium"
"Saturated First Stage",-24.2878944180632,23.6149945183507,1.4676753095697e-123,-0.111941489803323,1.35171988404145e-123,1540,0.308,2501,0.5002,-1,1.35171988404145e-123,"Medium"
"Forest",-30.3940014043467,18.5569558075268,3.29646214867756e-203,-1.73705160295721,3.58257338466707e-77,1069,0.2138,2091,0.4182,-1,3.58257338466707e-77,"Medium"
"Saturated First Stage",-23.8574408751003,15.0612521587575,1.60518343129284e-119,-1.74290989939976,1.45609288556149e-51,1069,0.2138,2430,0.486,-1,1.45609288556149e-51,"Medium"
"Forest",-13.1136776759608,32.9384050257811,1.37467921521343e-39,5.5360367069026,3.10027828949062e-238,535,0.107,1059,0.2118,1,1.37467921521343e-39,"Medium"
"Saturated First Stage",-5.319061637161,34.3333817321933,5.4429204922346e-08,5.57095944063191,1.24670020342229e-258,535,0.107,585,0.117,1,5.4429204922346e-08,"Medium"
"Forest",-16.2043844385703,4.50021219920488,2.34782613037591e-59,-2.58403451860287,3.39428300646507e-06,486,0.0972,363,0.0726,-1,3.39428300646507e-06,"Medium"
"Saturated First Stage",-12.9942067792007,1.40278402195354,2.7122479521203e-38,-2.51558172240419,0.0803406265179775,486,0.0972,239,0.0478,-1,0.0803406265179775,"Medium"
"Forest",-11.7816384032299,39.311693452461,2.4270137092733e-32,4.56928221737676,0,633,0.1266,1163,0.2326,1,2.4270137092733e-32,"Medium"
"Saturated First Stage",-10.5807854640495,35.2821683858136,3.43398946290655e-26,4.48889188736483,5.51190029926627e-273,633,0.1266,1681,0.3362,1,3.43398946290655e-26,"Medium"
"Forest",-12.0624336620597,25.5432720765999,8.3390329827322e-34,2.96124833515068,3.26101949477621e-144,1350,0.27,1353,0.2706,1,8.3390329827322e-34,"Medium"
"Saturated First Stage",-10.1778448339592,22.0115893598324,2.13763836597907e-24,3.0219437085962,1.11517444170358e-107,1350,0.27,1847,0.3694,1,2.13763836597907e-24,"Medium"
"Forest",-20.5052929364648,22.4767382854335,9.65517101475835e-94,0.341617359681629,3.50524103543913e-112,1451,0.2902,2298,0.4596,1,9.65517101475835e-94,"Medium"
"Saturated First Stage",-14.8651173049231,16.6113742958445,3.05388039855484e-49,0.396748915375713,2.88285127490341e-62,1451,0.2902,2186,0.4372,1,3.05388039855484e-49,"Medium"
"Forest",-30.7119359997977,20.7716411284534,1.97182698336268e-207,-1.43124275780608,3.90711688572095e-96,2114,0.4228,3000,0.6,1,1.97182698336268e-207,"Medium"
"Saturated First Stage",-27.5647644439868,20.407326806642,4.12059273353912e-156,-1.52994877350703,7.19726055244693e-93,2114,0.4228,2826,0.5652,1,4.12059273353912e-156,"Medium"
"Forest",-35.5672662259593,21.187332756493,2.24724307855718e-277,-2.41545398620236,6.24897360389661e-100,900,0.18,1725,0.345,-1,6.24897360389661e-100,"Medium"
"Saturated First Stage",-21.5529243088204,10.2652791085166,6.87671240146848e-99,-2.44056009598212,5.05142000650515e-25,900,0.18,1793,0.3586,-1,5.05142000650515e-25,"Medium"
"Forest",-23.6617534500585,-0.282694288634923,4.46686433182443e-124,-3.80621043261657,0.611294402623304,221,0.0442,0,0,-1,0.611294402623304,"Medium"
