"model","min_tstat","max_tstat","pval_one_neg","mean_dydx","pval_one_pos","n_defiers_true","pct_defiers_true","n_defiers_estimated","pct_defiers_estimated","estimate","pval_defier","N"
"Saturated First Stage",-1.11915257333637,1.88054264041717,0.131673257111358,0.250134191909939,0.0300170803649973,571,0.2855,349,0.1745,0.199351074402149,0.131673257111358,"Small"
"Forest",-1.12783383539675,7.5441465123373,0.129695050478272,1.57268614977568,2.27629548658077e-14,160,0.08,167,0.0835,1.57265427204503,0.129695050478272,"Small"
"Saturated First Stage",-0.186619442768483,5.1505620623445,0.425998627754148,1.59435502704677,1.2985348643959e-07,160,0.08,65,0.0325,1.57265427204503,0.425998627754148,"Small"
"Forest",-5.67424103978805,6.24612972828323,6.96524351834296e-09,-0.220889996374131,2.10373880236368e-10,516,0.258,509,0.2545,-0.135368414430161,2.10373880236368e-10,"Small"
"Saturated First Stage",-2.65788483709611,2.2436872990013,0.00399499994605842,-0.14723496449978,0.0124262639379904,516,0.258,500,0.25,-0.135368414430161,0.0124262639379904,"Small"
"Forest",-5.4802162318486,7.20556054814711,2.12403168948872e-08,0.60286687068029,2.89027751017989e-13,427,0.2135,337,0.1685,0.666242071550468,2.12403168948872e-08,"Small"
"Saturated First Stage",-2.86025915552766,5.07373736192675,0.00216096412091693,0.635049213254818,1.95038679412902e-07,427,0.2135,341,0.1705,0.666242071550468,0.00216096412091693,"Small"
"Forest",-0.870422996246406,6.06425128201481,0.192034642003284,0.854740423121856,6.62848765334374e-10,294,0.147,44,0.022,0.888727920328681,0.192034642003284,"Small"
"Saturated First Stage",-0.323171356809251,2.4422413766227,0.373316859309112,0.945516917066537,0.00729819185765193,294,0.147,23,0.0115,0.888727920328681,0.373316859309112,"Small"
"Forest",-4.57409368274836,1.2776244650153,2.3914290563926e-06,-0.689395851084745,0.100690935022742,407,0.2035,150,0.075,-0.68209212153259,0.100690935022742,"Small"
"Saturated First Stage",-2.49487791041441,1.00481977105491,0.00638102776810329,-0.680918418823704,0.15749182093973,407,0.2035,153,0.0765,-0.68209212153259,0.15749182093973,"Small"
"Forest",-1.80649020398929,4.95919152599356,0.035420901463026,0.488795561668269,3.53935763603559e-07,440,0.22,245,0.1225,0.441370796456257,0.035420901463026,"Small"
"Saturated First Stage",-0.891223990334955,1.99727202151608,0.186512780139961,0.436272628110941,0.022897820485015,440,0.22,309,0.1545,0.441370796456257,0.186512780139961,"Small"
"Forest",-1.57881413353511,8.97469544757388,0.0571893478983917,1.42765542692373,1.42068377421178e-19,325,0.1625,59,0.0295,1.45437272472859,0.0571893478983917,"Small"
"Saturated First Stage",-2.40462581261811,6.27110887600082,0.00818590317844622,1.44079793136902,1.79242913537315e-10,325,0.1625,110,0.055,1.45437272472859,0.00818590317844622,"Small"
"Forest",-2.73262701089717,7.63665241052708,0.0031415720452729,1.18059482662088,1.11471155555636e-14,270,0.135,255,0.1275,1.11357071283288,0.0031415720452729,"Small"
"Saturated First Stage",-1.8453389807976,5.90504257403554,0.0326433630137013,1.11024313163028,1.7627784622762e-09,270,0.135,292,0.146,1.11357071283288,0.0326433630137013,"Small"
"Forest",-2.31305972688747,6.18877906656981,0.0103596777757119,0.603580800131631,3.03159959129153e-10,342,0.171,229,0.1145,0.633713078833803,0.0103596777757119,"Small"
"Saturated First Stage",-1.95658616040185,3.27888112020142,0.0253384747963648,0.644020941588635,0.000521097647006927,342,0.171,178,0.089,0.633713078833803,0.0253384747963648,"Small"
"Forest",-1.9716931755404,9.3003216665108,0.0243223215897045,1.44119420118373,7.00107126433013e-21,296,0.148,172,0.086,1.46469928019402,0.0243223215897045,"Small"
"Saturated First Stage",-0.816628897587558,5.59317328777799,0.207168496679916,1.44571221862924,1.11478281688916e-08,296,0.148,195,0.0975,1.46469928019402,0.207168496679916,"Small"
"Forest",-2.11168363132777,6.77670452216727,0.01735679695938,1.04256677157397,6.14739861362879e-12,44,0.022,108,0.054,1.02360862039839,0.01735679695938,"Small"
"Saturated First Stage",-1.60780979470182,3.85166163795951,0.0540978448490948,1.08327219829874,5.86595263837095e-05,44,0.022,134,0.067,1.02360862039839,0.0540978448490948,"Small"
"Forest",-2.43740364411765,3.77932918841367,0.00739657807775437,-0.0195148794988589,7.86257107040303e-05,517,0.2585,520,0.26,-0.0638972981970502,7.86257107040303e-05,"Small"
"Saturated First Stage",-2.05642861750806,1.91461334711713,0.0200014424764876,-0.0815904409485882,0.0277709158507221,517,0.2585,496,0.248,-0.0638972981970502,0.0277709158507221,"Small"
"Forest",-3.05149049156457,2.53695373160327,0.00113854130235403,-0.223841170384777,0.00559108659799257,422,0.211,427,0.2135,-0.229396244440037,0.00559108659799257,"Small"
"Saturated First Stage",-2.50745035665817,2.04218306362592,0.00615986769034574,-0.195596865263825,0.0205666879153825,422,0.211,440,0.22,-0.229396244440037,0.0205666879153825,"Small"
"Forest",-2.83732745015628,7.04810305318866,0.00227464644881573,1.21537149993519,9.06866498896029e-13,267,0.1335,239,0.1195,1.22831392003278,0.00227464644881573,"Small"
"Saturated First Stage",-2.7262222338143,6.34925224905397,0.00325975890661746,1.18932232515514,1.08182004131184e-10,267,0.1335,397,0.1985,1.22831392003278,0.00325975890661746,"Small"
"Forest",-3.78491637234671,6.07535024544129,7.68801373360841e-05,0.148076991840743,6.18586950794159e-10,518,0.259,449,0.2245,0.222772420313234,7.68801373360841e-05,"Small"
"Saturated First Stage",-1.7675761597453,1.9352736198304,0.038719895494522,0.0558939038019408,0.0264783638775518,518,0.259,404,0.202,0.222772420313234,0.038719895494522,"Small"
"Forest",-2.36724279390657,6.31245093772197,0.00896058590129305,1.17027042712366,1.37325273916783e-10,143,0.0715,157,0.0785,1.16848547537264,0.00896058590129305,"Small"
"Saturated First Stage",-0.587763600968987,4.578836157138,0.27841250862511,1.24625616531698,2.33785129108469e-06,143,0.0715,242,0.121,1.16848547537264,0.27841250862511,"Small"
"Forest",-3.44681912870481,3.00860967831894,0.000283614098432587,-0.00926364431148519,0.00131223026593535,719,0.3595,433,0.2165,0.00853614683865844,0.000283614098432587,"Small"
"Saturated First Stage",-1.51873300322445,1.76182695673933,0.0645744927036016,0.0965484832723318,0.0390492693705169,719,0.3595,486,0.243,0.00853614683865844,0.0645744927036016,"Small"
"Forest",-4.68715277265062,0.955562269459082,1.38516084524564e-06,-0.823687653782893,0.169646715707297,114,0.057,116,0.058,-0.803868606876424,0.169646715707297,"Small"
"Saturated First Stage",-2.92999887596301,0.95387383998721,0.00173372269998492,-0.773600413569867,0.170073753383299,114,0.057,347,0.1735,-0.803868606876424,0.170073753383299,"Small"
"Forest",-2.26610973588395,4.99167515509588,0.0117223326494742,0.290098529857178,2.99289330660508e-07,249,0.1245,375,0.1875,0.289741067815674,0.0117223326494742,"Small"
"Saturated First Stage",-0.9075564739715,2.02361266733205,0.182166726598791,0.36244564400871,0.0215050103231756,249,0.1245,316,0.158,0.289741067815674,0.182166726598791,"Small"
"Forest",-1.67009017733097,5.79637893816761,0.0474507616397316,0.72612504774141,3.38810295454466e-09,1,5e-04,219,0.1095,0.864092263629198,0.0474507616397316,"Small"
"Saturated First Stage",-0.796519726202872,3.61295914367766,0.212960489335994,0.850998314746299,0.000151361208593109,1,5e-04,348,0.174,0.864092263629198,0.212960489335994,"Small"
"Forest",-6.05791752945851,3.93235687297733,6.89475288544911e-10,-0.31588974969924,4.20585318411995e-05,369,0.1845,448,0.224,-0.21529951274426,4.20585318411995e-05,"Small"
"Saturated First Stage",-3.22936504087079,2.62100237184773,0.000640738301118336,-0.204064151650468,0.00438358260006315,369,0.1845,334,0.167,-0.21529951274426,0.00438358260006315,"Small"
"Forest",-1.95596836969774,4.51966037742691,0.0252344401486535,0.344088040756175,3.09694560582035e-06,291,0.1455,357,0.1785,0.330846167454168,0.0252344401486535,"Small"
"Saturated First Stage",-1.22798349484546,2.235496595962,0.109872517662655,0.39548904233491,0.0126923824280157,291,0.1455,238,0.119,0.330846167454168,0.109872517662655,"Small"
"Forest",-5.22548174768566,4.37441933060736,8.68511280027622e-08,0.025720166822729,6.08780682924259e-06,602,0.301,452,0.226,0.0281721863310915,8.68511280027622e-08,"Small"
"Saturated First Stage",-3.37485074543416,3.41044900406237,0.00038361357874396,0.0177861015374993,0.000324280056963211,602,0.301,500,0.25,0.0281721863310915,0.00038361357874396,"Small"
"Forest",-1.88171695789332,8.71400637548115,0.0299372280122771,1.39405403651491,1.46659936000174e-18,284,0.142,97,0.0485,1.43459396853199,0.0299372280122771,"Small"
"Saturated First Stage",-0.110733628630302,4.22919008250434,0.455925011059096,1.42514537480439,1.17267062300904e-05,284,0.142,101,0.0505,1.43459396853199,0.455925011059096,"Small"
"Forest",-2.20576597367,5.19653005073943,0.0137001949443437,0.548224878451432,1.01521395796463e-07,152,0.076,238,0.119,0.622074717997987,0.0137001949443437,"Small"
"Saturated First Stage",-0.765993492874075,1.9635438782133,0.221931382209423,0.576281399218169,0.0247915056123887,152,0.076,117,0.0585,0.622074717997987,0.221931382209423,"Small"
"Forest",-0.315548458747171,7.25924293888199,0.376172632044608,1.34742837542916,1.94631400056885e-13,149,0.0745,18,0.009,1.3576255656408,0.376172632044608,"Small"
"Saturated First Stage",0.585787350051296,3.39552183192365,0.720924031069373,1.34311575952147,0.000342489554130373,149,0.0745,0,0,1.3576255656408,0.720924031069373,"Small"
"Forest",-6.70021930741876,3.41524352206441,1.04053489408818e-11,-0.738863886818687,0.000318625055780523,285,0.1425,233,0.1165,-0.756669469618043,0.000318625055780523,"Small"
"Saturated First Stage",-3.92804580964137,1.06883141679651,4.57898408763239e-05,-0.761220033947536,0.142572820051019,285,0.1425,347,0.1735,-0.756669469618043,0.142572820051019,"Small"
"Forest",-6.42491810191232,3.24322894455083,6.59702664575447e-11,-0.696713086272424,0.000590916015058401,292,0.146,263,0.1315,-0.6893926238013,0.000590916015058401,"Small"
"Saturated First Stage",-3.82559558387018,2.41550956954313,6.93127147139267e-05,-0.6513016640323,0.00785660479247501,292,0.146,289,0.1445,-0.6893926238013,0.00785660479247501,"Small"
"Forest",-4.88301430974447,3.4566564057457,5.22381429393332e-07,-0.224775385786653,0.000273460858124958,704,0.352,421,0.2105,-0.242764846926165,0.000273460858124958,"Small"
"Saturated First Stage",-3.18892767038524,2.77168892251256,0.000736422706886395,-0.21931649430455,0.00278831506580355,704,0.352,507,0.2535,-0.242764846926165,0.00278831506580355,"Small"
"Forest",-5.13147804011657,4.87057000720537,1.43737884362197e-07,0.0250407469798458,5.56383827006887e-07,569,0.2845,430,0.215,-0.0218748447219979,5.56383827006887e-07,"Small"
"Saturated First Stage",-2.1380936873108,2.05973571697197,0.0163767239144165,-0.0292319092285991,0.0197119064649859,569,0.2845,500,0.25,-0.0218748447219979,0.0197119064649859,"Small"
"Forest",-0.733368290585893,7.41583581700759,0.231666916901929,1.37374374756411,6.0430074004134e-14,150,0.075,31,0.0155,1.28089522336347,0.231666916901929,"Small"
"Saturated First Stage",-0.281559249194983,3.70842193076061,0.389170165542987,1.28606497348965,0.000104277469312114,150,0.075,85,0.0425,1.28089522336347,0.389170165542987,"Small"
"Forest",-1.60871898529,5.44135600117213,0.0538389012636544,0.923711189210813,2.64382627223795e-08,298,0.149,122,0.061,0.96642769684896,0.0538389012636544,"Small"
"Saturated First Stage",-0.777061186800201,3.89653092395931,0.218654150845642,0.963483264109952,4.87901765510804e-05,298,0.149,158,0.079,0.96642769684896,0.218654150845642,"Small"
"Forest",-6.33245247829834,6.87795646470631,1.20647309331779e-10,-0.0477895155453237,3.03586090658805e-12,533,0.2665,565,0.2825,-0.193915247533789,3.03586090658805e-12,"Small"
