"model","min_tstat","max_tstat","pval_one_neg","mean_dydx","pval_one_pos","n_defiers_true","pct_defiers_true","n_defiers_estimated","pct_defiers_estimated","first_stage_sign","pval_defier","N"
"Saturated First Stage",-14.0563032289036,7.57758694856833,2.35307640029075e-41,-2.51784696180563,1.760205431445e-14,179,0.179,278,0.278,-1,1.760205431445e-14,"Small"
"Forest",-4.5156629937907,8.02111983239655,3.15594879230476e-06,1.25160101182057,5.23927201683921e-16,313,0.313,346,0.346,1,3.15594879230476e-06,"Small"
"Saturated First Stage",-3.30089930429091,5.89124985919453,0.000499088214671508,1.27414435458438,1.91642753583875e-09,313,0.313,385,0.385,1,0.000499088214671508,"Small"
"Forest",-15.0522045877189,3.79756825986031,1.66959198016533e-51,-2.33589395398254,7.30612725414238e-05,116,0.116,234,0.234,-1,7.30612725414238e-05,"Small"
"Saturated First Stage",-7.6364315944596,2.94642336693173,2.62519538202103e-14,-2.19558386965593,0.00160736032428088,116,0.116,402,0.402,-1,0.00160736032428088,"Small"
"Forest",-6.06836130013288,20.3358661804919,6.46109721756786e-10,5.27087272700533,3.09681318297438e-92,148,0.148,217,0.217,1,6.46109721756786e-10,"Small"
"Saturated First Stage",-4.72507891132488,18.6035201898579,1.31633997813348e-06,5.81698024902748,1.50442722783928e-77,148,0.148,305,0.305,1,1.31633997813348e-06,"Small"
"Forest",1.39328199072433,16.8412562708284,0.918232732805238,5.1116454856169,6.08133488856664e-64,31,0.031,0,0,1,0.918232732805238,"Small"
"Saturated First Stage",0.260417326600373,8.16250714307682,0.602701983578926,5.30515913639557,1.64070583982985e-16,31,0.031,0,0,1,0.602701983578926,"Small"
"Forest",-11.4067427177104,4.00868871020578,1.93474720327146e-30,-2.80870644864798,3.05284186397164e-05,425,0.425,157,0.157,-1,3.05284186397164e-05,"Small"
"Saturated First Stage",-9.15698915902021,3.16361684429511,1.49250815950601e-19,-2.80701678050979,0.00077910894517285,425,0.425,140,0.14,-1,0.00077910894517285,"Small"
"Forest",-10.2812318239559,5.93469378052931,4.28130707672421e-25,-1.27550336660337,1.47197219353208e-09,177,0.177,402,0.402,-1,1.47197219353208e-09,"Small"
"Saturated First Stage",-8.58926466089895,5.30890596335062,1.68054078111276e-17,-1.14028410112641,5.51426058409993e-08,177,0.177,412,0.412,-1,5.51426058409993e-08,"Small"
"Forest",-21.6600904096494,9.32922485582577,2.44137453462396e-104,-1.01212729967906,5.33239935843852e-21,219,0.219,407,0.407,-1,5.33239935843852e-21,"Small"
"Saturated First Stage",-9.7300462154015,8.15632683430632,9.87179642484777e-22,-0.633790385491236,1.72683540658512e-16,219,0.219,500,0.5,-1,1.72683540658512e-16,"Small"
"Forest",-12.1529749443761,9.52651887826396,2.76577496433038e-34,-1.01878886216335,8.13229081841124e-22,198,0.198,446,0.446,-1,8.13229081841124e-22,"Small"
"Saturated First Stage",-10.0762206815081,8.00477204658216,4.22913504175733e-23,-0.983548673532662,5.98440882413649e-16,198,0.198,468,0.468,-1,5.98440882413649e-16,"Small"
"Forest",-4.24100204160961,11.9591506923689,1.1126205622729e-05,2.20001569835645,2.90768256865612e-33,157,0.157,303,0.303,1,1.1126205622729e-05,"Small"
"Saturated First Stage",-2.20481032746655,5.94075477761866,0.013848373634416,2.09081461143025,1.41856372855213e-09,157,0.157,349,0.349,1,0.013848373634416,"Small"
"Forest",-10.511707316791,11.6434227456067,3.81497828552504e-26,0.0620636104459267,1.23932428740496e-31,236,0.236,500,0.5,1,3.81497828552504e-26,"Small"
"Saturated First Stage",-10.4782923994512,10.9529423260682,9.76498897535674e-25,0.247173974723021,3.216180501812e-28,236,0.236,506,0.506,1,9.76498897535674e-25,"Small"
"Forest",-28.015065796086,7.77512086833043,5.32447566578847e-173,-4.05875838584659,3.76877004700703e-15,142,0.142,281,0.281,-1,3.76877004700703e-15,"Small"
"Saturated First Stage",-11.627473991291,4.76924277721,1.09906779804275e-29,-3.70917292005692,9.24598472390886e-07,142,0.142,372,0.372,-1,9.24598472390886e-07,"Small"
"Forest",-11.2680915979775,7.62434096916319,9.4306840108363e-30,-1.64158663437441,1.22642122800124e-14,183,0.183,293,0.293,-1,1.22642122800124e-14,"Small"
"Saturated First Stage",-9.54925219178642,4.51389078798742,4.93867074806294e-21,-1.72544606864771,3.1824501074875e-06,183,0.183,391,0.391,-1,3.1824501074875e-06,"Small"
"Forest",-14.8181752814618,5.39700450695542,5.58899135112907e-50,-2.29096650576181,3.38813432913112e-08,389,0.389,258,0.258,-1,3.38813432913112e-08,"Small"
"Saturated First Stage",-8.61105380943466,3.29921078878296,1.40840646404716e-17,-2.19936163902921,0.000484785384809817,389,0.389,412,0.412,-1,0.000484785384809817,"Small"
"Forest",-10.4192392443933,10.7644599905618,1.0128348437212e-25,0.285630873452654,2.53288304283658e-27,360,0.36,451,0.451,1,1.0128348437212e-25,"Small"
"Saturated First Stage",-7.55019911753597,8.15045496115703,4.92476476517264e-14,0.298456009722435,1.8127882782656e-16,360,0.36,489,0.489,1,4.92476476517264e-14,"Small"
"Forest",-19.1123383418178,-2.23999624532214,9.96667877428316e-82,-7.21257998407907,0.9874544166857,9,0.009,0,0,-1,0.9874544166857,"Small"
"Saturated First Stage",-10.7569473709708,-2.14360552017035,6.70012035701875e-26,-6.806634343704,0.983967745948122,9,0.009,0,0,-1,0.983967745948122,"Small"
"Forest",-9.81852696454496,15.458595593519,4.68513495230445e-23,0.383090918890209,3.30111625988375e-54,405,0.405,474,0.474,-1,3.30111625988375e-54,"Small"
"Saturated First Stage",-10.005475437625,10.6775967065325,8.10877976645579e-23,0.354514242855016,6.4791471964972e-27,405,0.405,512,0.512,-1,6.4791471964972e-27,"Small"
"Forest",-28.7694176714526,3.91018753699331,2.58916209630638e-182,-5.70839535014228,4.61122452177186e-05,126,0.126,249,0.249,-1,4.61122452177186e-05,"Small"
"Saturated First Stage",-17.3811029026417,1.9034166932045,1.46054219435106e-59,-5.73096879642702,0.0284930972556654,126,0.126,299,0.299,-1,0.0284930972556654,"Small"
"Forest",-4.40456917599924,16.9690049119102,5.29971573130513e-06,3.34722064160939,6.96360297827877e-65,102,0.102,202,0.202,1,5.29971573130513e-06,"Small"
"Saturated First Stage",-4.41544959011104,12.774722187792,5.59417129453501e-06,3.27560090415671,1.13478305113925e-37,102,0.102,203,0.203,1,5.59417129453501e-06,"Small"
"Forest",-4.78281288368356,7.56631874061878,8.64295115818315e-07,0.204619207551009,1.9197464648868e-14,271,0.271,463,0.463,1,8.64295115818315e-07,"Small"
"Saturated First Stage",-3.73749479755677,4.10685783684344,9.82510876625835e-05,0.156490022232067,2.00538954727222e-05,271,0.271,416,0.416,1,9.82510876625835e-05,"Small"
"Forest",-7.05239171132517,20.5234241559759,8.79341360009287e-13,3.82488146064877,6.65031093618437e-94,154,0.154,255,0.255,1,8.79341360009287e-13,"Small"
"Saturated First Stage",-5.11047157061736,12.9444850165121,1.92771054154671e-07,3.79380849001946,1.26225209762171e-38,154,0.154,230,0.23,1,1.92771054154671e-07,"Small"
"Forest",-9.40591194357922,18.6487552650942,2.57904721451749e-21,2.13392922145865,6.46257482957511e-78,189,0.189,337,0.337,1,2.57904721451749e-21,"Small"
"Saturated First Stage",-7.15373487868235,12.577202754368,8.2054727987947e-13,2.03107508762276,1.40916825148454e-36,189,0.189,395,0.395,1,8.2054727987947e-13,"Small"
"Forest",-12.3188107892326,1.99519956083848,3.58722240561844e-35,-3.40307732898433,0.0230105594663868,153,0.153,128,0.128,-1,0.0230105594663868,"Small"
